route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
921-95,AUG16-MVS-BUS-Weekday-01,9541549-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541550-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541551-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541552-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541553-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541554-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541555-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541556-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541557-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541558-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541559-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541560-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541561-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541562-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541563-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541564-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541565-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541566-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541567-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541568-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541569-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541570-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541571-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541572-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541573-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541574-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541575-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541576-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541577-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541578-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541579-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541580-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541581-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541582-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541583-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541584-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541585-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541586-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541587-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541588-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541589-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541590-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541591-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541592-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541593-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541594-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541595-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541596-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541597-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541598-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541599-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541600-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541601-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541602-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541603-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541604-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541605-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541606-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541607-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541608-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541609-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541610-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541611-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541612-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541613-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541614-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541615-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541616-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541617-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541618-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541619-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541620-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541621-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541622-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541623-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541624-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541625-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541626-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541627-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541628-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541629-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541630-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541631-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541632-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541633-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541634-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541635-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541636-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541637-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541638-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541639-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541640-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541641-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541642-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541643-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541644-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541645-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541646-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541647-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541648-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541649-AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,9210001
921-95,AUG16-MVS-BUS-Weekday-01,9541650-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541651-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541652-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541653-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541654-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541655-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541656-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541657-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541658-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541659-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541660-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541661-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541662-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541663-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541664-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541665-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541666-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541667-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541668-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541669-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541670-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541671-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541672-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541673-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541674-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541675-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541676-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541677-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541678-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541679-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541680-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541681-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541682-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541683-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541684-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541685-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541686-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541687-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
921-95,AUG16-MVS-BUS-Weekday-01,9541688-AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,9210002
