route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578869-AUG16-MVS-BUS-Weekday-01,Eastbound 2A Franklin Av / Oak St - Univ,0,1001,20005,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578870-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1002,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578871-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1004,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578872-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1001,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578873-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1002,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578874-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1006,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578875-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1004,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578876-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1009,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578877-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1001,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578878-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1007,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578879-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1003,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578880-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1008,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578881-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1002,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578882-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1006,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578883-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1009,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578884-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1011,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578885-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1007,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578886-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1010,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578887-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1008,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578888-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1005,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578889-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1006,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578890-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1004,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578891-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1011,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578892-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1001,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578893-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1010,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578894-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1008,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578895-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1005,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578896-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1006,20002,1
2-95,0,2,Franklin Av - Riverside Av - U of M - 8th St SE,,3,http://www.metrotransit.org/route/2,,000000,AUG16-MVS-BUS-Weekday-01,9578897-AUG16-MVS-BUS-Weekday-01,Eastbound 2C  Franklin Av/To Central/U of M,0,1004,20002,1
