ID,CALENDAR_ID,Literal_Time_start,LONGITUDE_start,LATITUDE_start,Literal_Time_end,LONGITUDE_end,LATITUDE_end,ROUTE_ABBR,DIRECTION,SERV_DAY_start,SERV_DAY_end,MESSAGE_COUNT
120161001-2639-00,120161001,2016-10-01 08:54:44.770000,-932437104,448629658,2016-10-01 09:00:16.787000,-932437104,448629658,,,Saturday,Saturday,6
120161001-2639-01,120161001,2016-10-01 09:00:50.890000,-932437104,448629658,2016-10-01 10:09:53.823000,-932204602,449212047,921.0,1.0,Saturday,Saturday,94
120161001-2639-02,120161001,2016-10-01 10:10:26.333000,-932208789,449209469,2016-10-01 10:50:14.850000,-931682212,450123170,921.0,4.0,Saturday,Saturday,56
120161001-2639-03,120161001,2016-10-01 10:50:17.847000,-931681635,450122902,2016-10-01 11:29:02.277000,-932205953,449213513,921.0,1.0,Saturday,Saturday,52
120161001-2639-04,120161001,2016-10-01 11:29:19.297000,-932208309,449209154,2016-10-01 12:04:31.707000,-931685053,450125160,921.0,4.0,Saturday,Saturday,49
120161001-2639-05,120161001,2016-10-01 12:05:15.727000,-931682338,450122299,2016-10-01 12:48:49.877000,-932208496,449209371,921.0,1.0,Saturday,Saturday,60
120161001-2639-06,120161001,2016-10-01 12:48:51.920000,-932208496,449209371,2016-10-01 13:24:56.650000,-931681959,450122909,921.0,4.0,Saturday,Saturday,69
120161001-2639-07,120161001,2016-10-01 13:24:59.303000,-931681453,450122697,2016-10-01 14:07:15.147000,-932205471,449212647,921.0,1.0,Saturday,Saturday,77
120161001-2639-08,120161001,2016-10-01 14:08:16.267000,-932209561,449210218,2016-10-01 14:53:54.973000,-931685300,450126017,921.0,4.0,Saturday,Saturday,93
120161001-2639-09,120161001,2016-10-01 14:54:22.197000,-931681717,450122645,2016-10-01 15:37:38.800000,-932204996,449212494,921.0,1.0,Saturday,Saturday,84
120161001-2639-10,120161001,2016-10-01 15:38:02.700000,-932208955,449209835,2016-10-01 16:22:47.557000,-931684739,450124894,921.0,4.0,Saturday,Saturday,87
120161001-2639-11,120161001,2016-10-01 16:23:00.660000,-931682302,450122676,2016-10-01 17:05:19.013000,-932204575,449212597,921.0,1.0,Saturday,Saturday,101
120161001-2639-12,120161001,2016-10-01 17:05:42.977000,-932208516,449209330,2016-10-01 17:53:03.707000,-931685247,450125931,921.0,4.0,Saturday,Saturday,92
120161001-2639-13,120161001,2016-10-01 17:53:24.567000,-931681820,450122685,2016-10-01 18:34:52.033000,-932204952,449212566,921.0,1.0,Saturday,Saturday,88
120161001-2639-14,120161001,2016-10-01 18:35:25.247000,-932209043,449210214,2016-10-01 19:21:04.810000,-931684893,450124112,921.0,4.0,Saturday,Saturday,94
120161001-2639-15,120161001,2016-10-01 19:21:17.867000,-931683645,450122325,2016-10-01 20:04:17.843000,-932205690,449213438,921.0,1.0,Saturday,Saturday,60
120161001-2639-16,120161001,2016-10-01 20:04:32.007000,-932208156,449209147,2016-10-01 20:50:35.940000,-931684690,450125463,921.0,4.0,Saturday,Saturday,81
