trip_id,service_id_start,trip_headsign_start,dir_sign_start,SERV_DAY_start,stop_lat_start,stop_lon_start,arrival_time_start,departure_time_start,stop_id_start,stop_name_start,stop_desc_start,stop_lat_end,stop_lon_end,arrival_time_end,departure_time_end,stop_id_end,stop_name_end,stop_desc_end
9541549-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,4.0,Weekday,44.921353,-93.220574,04:00:00,04:00:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,04:24:00,04:24:00,52531,Rosedale Transit Center  Gate A,Near side S
9552557-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Saturday,45.012498,-93.168526,04:01:00,04:01:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,04:25:00,04:25:00,51544,46th St Station Gate A,Near side N
9558391-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Sunday,45.012498,-93.168526,04:01:00,04:01:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,04:25:00,04:25:00,51544,46th St Station Gate A,Near side N
9541650-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Weekday,45.012498,-93.168526,04:06:00,04:06:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,04:29:00,04:29:00,51544,46th St Station Gate A,Near side N
9558201-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Northbound A LINE/Rosedale/Rapid,4.0,Sunday,44.921353,-93.220574,04:30:00,04:30:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,04:55:00,04:55:00,52531,Rosedale Transit Center  Gate A,Near side S
9552461-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Northbound A LINE/Rosedale/Rapid,4.0,Saturday,44.921353,-93.220574,04:30:00,04:30:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,04:55:00,04:55:00,52531,Rosedale Transit Center  Gate A,Near side S
9541550-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,4.0,Weekday,44.921353,-93.220574,04:30:00,04:30:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,04:54:00,04:54:00,52531,Rosedale Transit Center  Gate A,Near side S
9558295-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Sunday,45.012498,-93.168526,04:36:00,04:36:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,05:00:00,05:00:00,51544,46th St Station Gate A,Near side N
9552558-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Saturday,45.012498,-93.168526,04:36:00,04:36:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,05:00:00,05:00:00,51544,46th St Station Gate A,Near side N
9541651-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Weekday,45.012498,-93.168526,04:36:00,04:36:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,04:59:00,04:59:00,51544,46th St Station Gate A,Near side N
9541551-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,4.0,Weekday,44.921353,-93.220574,04:50:00,04:50:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,05:14:00,05:14:00,52531,Rosedale Transit Center  Gate A,Near side S
9558296-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Sunday,45.012498,-93.168526,05:05:00,05:05:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,05:30:00,05:30:00,51544,46th St Station Gate A,Near side N
9552559-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Saturday,45.012498,-93.168526,05:05:00,05:05:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,05:30:00,05:30:00,51544,46th St Station Gate A,Near side N
9541652-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Weekday,45.012498,-93.168526,05:05:00,05:05:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,05:29:00,05:29:00,51544,46th St Station Gate A,Near side N
9558202-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Northbound A LINE/Rosedale/Rapid,4.0,Sunday,44.921353,-93.220574,05:10:00,05:10:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,05:35:00,05:35:00,52531,Rosedale Transit Center  Gate A,Near side S
9552462-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Northbound A LINE/Rosedale/Rapid,4.0,Saturday,44.921353,-93.220574,05:10:00,05:10:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,05:35:00,05:35:00,52531,Rosedale Transit Center  Gate A,Near side S
9541552-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,4.0,Weekday,44.921353,-93.220574,05:10:00,05:10:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,05:34:00,05:34:00,52531,Rosedale Transit Center  Gate A,Near side S
9541653-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Weekday,45.012498,-93.168526,05:25:00,05:25:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,05:49:00,05:49:00,51544,46th St Station Gate A,Near side N
9541553-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,4.0,Weekday,44.921353,-93.220574,05:29:00,05:29:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,05:54:00,05:54:00,52531,Rosedale Transit Center  Gate A,Near side S
9558203-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Northbound A LINE/Rosedale/Rapid,4.0,Sunday,44.921353,-93.220574,05:30:00,05:30:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,05:55:00,05:55:00,52531,Rosedale Transit Center  Gate A,Near side S
9552463-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Northbound A LINE/Rosedale/Rapid,4.0,Saturday,44.921353,-93.220574,05:30:00,05:30:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,05:55:00,05:55:00,52531,Rosedale Transit Center  Gate A,Near side S
9552560-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Saturday,45.012498,-93.168526,05:35:00,05:35:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,06:00:00,06:00:00,51544,46th St Station Gate A,Near side N
9558392-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Sunday,45.012498,-93.168526,05:35:00,05:35:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,06:00:00,06:00:00,51544,46th St Station Gate A,Near side N
9552464-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Northbound A LINE/Rosedale/Rapid,4.0,Saturday,44.921353,-93.220574,05:44:00,05:44:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,06:10:00,06:10:00,52531,Rosedale Transit Center  Gate A,Near side S
9541654-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Weekday,45.012498,-93.168526,05:45:00,05:45:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,06:09:00,06:09:00,51544,46th St Station Gate A,Near side N
9558387-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Northbound A LINE/Rosedale/Rapid,4.0,Sunday,44.921353,-93.220574,05:45:00,05:45:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,06:10:00,06:10:00,52531,Rosedale Transit Center  Gate A,Near side S
9541554-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,4.0,Weekday,44.921353,-93.220574,05:49:00,05:49:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,06:15:00,06:15:00,52531,Rosedale Transit Center  Gate A,Near side S
9558297-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Sunday,45.012498,-93.168526,05:50:00,05:50:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,06:15:00,06:15:00,51544,46th St Station Gate A,Near side N
9552561-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Saturday,45.012498,-93.168526,05:50:00,05:50:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,06:15:00,06:15:00,51544,46th St Station Gate A,Near side N
9541655-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Weekday,45.012498,-93.168526,05:55:00,05:55:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,06:20:00,06:20:00,51544,46th St Station Gate A,Near side N
9552465-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Northbound A LINE/Rosedale/Rapid,4.0,Saturday,44.921353,-93.220574,05:59:00,05:59:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,06:25:00,06:25:00,52531,Rosedale Transit Center  Gate A,Near side S
9541555-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,4.0,Weekday,44.921353,-93.220574,05:59:00,05:59:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,06:25:00,06:25:00,52531,Rosedale Transit Center  Gate A,Near side S
9558204-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Northbound A LINE/Rosedale/Rapid,4.0,Sunday,44.921353,-93.220574,06:00:00,06:00:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,06:25:00,06:25:00,52531,Rosedale Transit Center  Gate A,Near side S
